output_mask_hex,gram_rank,radical_dimension,nonzero_radical_points,radical_basis_hex
01,17,0,0,
02,17,0,0,
03,16,1,1,07ac5
04,16,1,1,14179
05,15,2,3,00e5d 06177
06,17,0,0,
07,16,1,1,0b144
08,16,1,1,160bd
09,17,0,0,
0a,15,2,3,0eddb 10449
0b,16,1,1,002d3
0c,16,1,1,03e4c
0d,17,0,0,
0e,17,0,0,
0f,16,1,1,0581c
10,17,0,0,
11,14,3,7,02e4f 090df 119d5
12,16,1,1,03590
13,17,0,0,
14,15,2,3,055b9 11761
15,16,1,1,096a2
16,16,1,1,0a2ba
17,17,0,0,
18,17,0,0,
19,16,1,1,1e92a
1a,16,1,1,09103
1b,17,0,0,
1c,15,2,3,00787 14050
1d,16,1,1,19f2d
1e,16,1,1,1c30c
1f,15,2,3,06da8 09cb3
20,15,2,3,05ba3 1b3d6
21,16,1,1,03ed0
22,16,1,1,1978c
23,15,2,3,0cf62 16f12
24,15,2,3,09e1f 170cc
25,16,1,1,06516
26,16,1,1,0f4fb
27,15,2,3,04802 1816b
28,15,2,3,07732 185ef
29,16,1,1,1aaec
2a,16,1,1,05139
2b,17,0,0,
2c,15,2,3,08c88 140d9
2d,16,1,1,1e2dc
2e,16,1,1,16b03
2f,15,2,3,0d7e2 1636b
30,16,1,1,051a7
31,15,2,3,0d0cc 10006
32,17,0,0,
33,16,1,1,0d9f8
34,16,1,1,068a7
35,17,0,0,
36,17,0,0,
37,16,1,1,0106a
38,16,1,1,15315
39,15,2,3,0120e 0859e
3a,15,2,3,05c78 18500
3b,14,3,7,03089 0871e 1444e
3c,14,3,7,0383e 05291 100ba
3d,17,0,0,
3e,17,0,0,
3f,16,1,1,17999
40,15,2,3,08384 15bff
41,16,1,1,1737e
42,16,1,1,04cc9
43,15,2,3,02681 085d0
44,15,2,3,06668 1a53a
45,16,1,1,04beb
46,16,1,1,0e85e
47,17,0,0,
48,15,2,3,0d16b 15918
49,16,1,1,15754
4a,16,1,1,13a9e
4b,15,2,3,0135a 029d8
4c,17,0,0,
4d,16,1,1,1c108
4e,16,1,1,067b6
4f,15,2,3,01acf 16c7b
50,16,1,1,00a22
51,17,0,0,
52,15,2,3,0a66c 1772e
53,16,1,1,00b2c
54,16,1,1,10774
55,17,0,0,
56,15,2,3,04116 1820f
57,14,3,7,00eda 04288 11247
58,14,3,7,02ea5 0d1aa 1540b
59,15,2,3,0369d 094d7
5a,17,0,0,
5b,14,3,7,04344 0954f 13817
5c,16,1,1,03fa9
5d,17,0,0,
5e,13,4,15,002b8 01420 0805b 1483c
5f,16,1,1,1a531
60,16,1,1,124d3
61,17,0,0,
62,15,2,3,08cc5 11891
63,16,1,1,19f0c
64,16,1,1,1003a
65,17,0,0,
66,17,0,0,
67,16,1,1,0054b
68,16,1,1,07275
69,15,2,3,093ab 13ddb
6a,17,0,0,
6b,16,1,1,0dbd4
6c,16,1,1,07aa6
6d,15,2,3,0565e 10b83
6e,15,2,3,0c12f 11776
6f,16,1,1,080f9
70,15,2,3,0fcbf 141ca
71,16,1,1,0d60d
72,16,1,1,12b79
73,15,2,3,08063 128be
74,15,2,3,06655 19cb9
75,16,1,1,11652
76,16,1,1,02e48
77,17,0,0,
78,15,2,3,0170e 0a38c
79,14,3,7,0034d 0aca0 12105
7a,16,1,1,1b4e8
7b,15,2,3,029ac 080c2
7c,17,0,0,
7d,16,1,1,1f6fc
7e,16,1,1,0401a
7f,15,2,3,0ff25 11043
80,15,2,3,0a6ff 156ed
81,16,1,1,08912
82,16,1,1,1fd22
83,15,2,3,0a7a4 131ef
84,15,2,3,0c367 167ee
85,16,1,1,0f1f2
86,16,1,1,1196d
87,15,2,3,014ab 105e7
88,15,2,3,04bb0 1abd4
89,16,1,1,06ced
8a,16,1,1,119d5
8b,15,2,3,07874 0ae70
8c,17,0,0,
8d,16,1,1,0e377
8e,14,3,7,00208 040d7 10dca
8f,15,2,3,051ef 08982
90,16,1,1,08ac1
91,15,2,3,0fed3 13ea4
92,15,2,3,0631f 1aaba
93,16,1,1,1bdef
94,14,3,7,00fd3 0209b 1402d
95,15,2,3,036ff 1841b
96,17,0,0,
97,16,1,1,11fb7
98,14,3,7,03c4b 082d6 11fab
99,17,0,0,
9a,15,2,3,05e55 18833
9b,16,1,1,119d5
9c,16,1,1,159c4
9d,15,2,3,03fd4 0471c
9e,15,2,3,0c0bd 1327e
9f,16,1,1,19b2a
a0,16,1,1,0ec19
a1,17,0,0,
a2,15,2,3,02a66 0938e
a3,16,1,1,10706
a4,16,1,1,0c5f6
a5,17,0,0,
a6,15,2,3,00cf1 0c575
a7,16,1,1,14de9
a8,16,1,1,1063a
a9,15,2,3,06a1d 10777
aa,17,0,0,
ab,16,1,1,147ac
ac,16,1,1,14b6f
ad,15,2,3,0f893 11b59
ae,15,2,3,0ab92 158cb
af,14,3,7,057a5 095e8 138fe
b0,15,2,3,0637b 10801
b1,14,3,7,00184 0f8eb 15aa1
b2,16,1,1,1fede
b3,15,2,3,0a198 116b2
b4,13,4,15,019bb 02ca7 04da4 086e4
b5,14,3,7,05fef 089be 1103e
b6,16,1,1,04986
b7,17,0,0,
b8,17,0,0,
b9,16,1,1,06acc
ba,16,1,1,078cb
bb,15,2,3,0bd06 16945
bc,17,0,0,
bd,14,3,7,04015 09acc 111c7
be,16,1,1,03d0b
bf,17,0,0,
c0,16,1,1,1ca01
c1,17,0,0,
c2,17,0,0,
c3,16,1,1,120fe
c4,16,1,1,16dcd
c5,15,2,3,00926 0d189
c6,15,2,3,0206e 10267
c7,14,3,7,00618 0cbc0 14327
c8,16,1,1,1d4c1
c9,17,0,0,
ca,17,0,0,
cb,16,1,1,140e3
cc,16,1,1,00b31
cd,17,0,0,
ce,17,0,0,
cf,16,1,1,0b400
d0,15,2,3,0db77 1004d
d1,16,1,1,0e7bb
d2,16,1,1,11316
d3,15,2,3,0b945 1624a
d4,15,2,3,01033 1cdbf
d5,16,1,1,0d209
d6,16,1,1,1255d
d7,17,0,0,
d8,15,2,3,05fad 19107
d9,16,1,1,08fdd
da,16,1,1,0798e
db,15,2,3,0e274 17b2d
dc,15,2,3,0fd80 13a54
dd,16,1,1,13a7b
de,16,1,1,1c670
df,15,2,3,0bcae 10a88
e0,15,2,3,002e3 00c25
e1,16,1,1,01478
e2,16,1,1,171bb
e3,15,2,3,002c4 1b0ba
e4,15,2,3,08f17 105a9
e5,16,1,1,14f5d
e6,16,1,1,07c48
e7,15,2,3,00453 12be0
e8,17,0,0,
e9,16,1,1,0e8d5
ea,16,1,1,09153
eb,15,2,3,0549a 0a67a
ec,15,2,3,0f37d 1070b
ed,16,1,1,1f03d
ee,16,1,1,0d221
ef,17,0,0,
f0,16,1,1,0dde2
f1,17,0,0,
f2,15,2,3,01d81 14ae3
f3,16,1,1,0af0d
f4,16,1,1,0c5e3
f5,17,0,0,
f6,15,2,3,0e54c 172c6
f7,16,1,1,1f2d1
f8,16,1,1,02289
f9,17,0,0,
fa,17,0,0,
fb,16,1,1,1e39d
fc,16,1,1,062c3
fd,15,2,3,0f061 16d74
fe,15,2,3,020ea 1d47b
ff,16,1,1,18fd5
