output_mask_hex,parameter_hex,normal_hex,offset,gram_rank
03,07ac5,3d62,0,16
04,14179,a0bc,0,16
05,00e5d,072e,0,15
05,06177,30bb,0,15
05,06f2a,3795,1,15
07,0b144,58a2,1,16
08,160bd,b05e,0,16
0a,0eddb,76ed,0,15
0a,10449,8224,0,15
0a,1e992,f4c9,1,15
0b,002d3,0169,0,16
0c,03e4c,1f26,1,16
0f,0581c,2c0e,1,16
11,02e4f,1727,0,14
11,090df,486f,0,14
11,0be90,5f48,1,14
11,119d5,8cea,0,14
11,1379a,9bcd,1,14
11,1890a,c485,1,14
11,1a745,d3a2,0,14
12,03590,1ac8,1,16
14,055b9,2adc,0,15
14,11761,8bb0,0,15
14,142d8,a16c,1,15
15,096a2,4b51,1,16
16,0a2ba,515d,1,16
19,1e92a,f495,1,16
1a,09103,4881,0,16
1c,00787,03c3,0,15
1c,14050,a028,1,15
1c,147d7,a3eb,0,15
1d,19f2d,cf96,0,16
1e,1c30c,e186,1,16
1f,06da8,36d4,1,15
1f,09cb3,4e59,0,15
1f,0f11b,788d,0,15
20,05ba3,2dd1,0,15
20,1b3d6,d9eb,1,15
20,1e875,f43a,0,15
21,03ed0,1f68,1,16
22,1978c,cbc6,1,16
23,0cf62,67b1,1,15
23,16f12,b789,1,15
23,1a070,d038,1,15
24,09e1f,4f0f,0,15
24,170cc,b866,1,15
24,1eed3,f769,0,15
25,06516,328b,1,16
26,0f4fb,7a7d,0,16
27,04802,2401,1,15
27,1816b,c0b5,0,15
27,1c969,e4b4,0,15
28,07732,3b99,1,15
28,185ef,c2f7,0,15
28,1f2dd,f96e,0,15
29,1aaec,d576,1,16
2a,05139,289c,0,16
2c,08c88,4644,1,15
2c,140d9,a06c,0,15
2c,1cc51,e628,0,15
2d,1e2dc,f16e,1,16
2e,16b03,b581,0,16
2f,0d7e2,6bf1,1,15
2f,1636b,b1b5,0,15
2f,1b489,da44,0,15
30,051a7,28d3,0,16
31,0d0cc,6866,1,15
31,10006,8003,1,15
31,1d0ca,e865,1,15
33,0d9f8,6cfc,1,16
34,068a7,3453,0,16
37,0106a,0835,1,16
38,15315,a98a,0,16
39,0120e,0907,1,15
39,0859e,42cf,1,15
39,09790,4bc8,1,15
3a,05c78,2e3c,1,15
3a,18500,c280,1,15
3a,1d978,ecbc,1,15
3b,03089,1844,0,14
3b,0871e,438f,1,14
3b,0b797,5bcb,0,14
3b,1444e,a227,1,14
3b,174c7,ba63,0,14
3b,1c350,e1a8,1,14
3b,1f3d9,f9ec,0,14
3c,0383e,1c1f,1,14
3c,05291,2948,0,14
3c,06aaf,3557,0,14
3c,100ba,805d,1,14
3c,13884,9c42,1,14
3c,1522b,a915,0,14
3c,16a15,b50a,0,14
3f,17999,bccc,0,16
40,08384,41c2,1,15
40,15bff,adff,0,15
40,1d87b,ec3d,0,15
41,1737e,b9bf,1,16
42,04cc9,2664,0,16
43,02681,1340,0,15
43,085d0,42e8,1,15
43,0a351,51a8,0,15
44,06668,3334,1,15
44,1a53a,d29d,1,15
44,1c352,e1a9,1,15
45,04beb,25f5,0,16
46,0e85e,742f,1,16
48,0d16b,68b5,0,15
48,15918,ac8c,1,15
48,18873,c439,0,15
49,15754,abaa,1,16
4a,13a9e,9d4f,1,16
4b,0135a,09ad,1,15
4b,029d8,14ec,1,15
4b,03a82,1d41,1,15
4d,1c108,e084,1,16
4e,067b6,33db,1,16
4f,01acf,0d67,0,15
4f,16c7b,b63d,0,15
4f,176b4,bb5a,1,15
50,00a22,0511,1,16
52,0a66c,5336,1,15
52,1772e,bb97,1,15
52,1d142,e8a1,1,15
53,00b2c,0596,1,16
54,10774,83ba,1,16
56,04116,208b,1,15
56,1820f,c107,0,15
56,1c319,e18c,0,15
57,00eda,076d,1,14
57,04288,2144,1,14
57,04c52,2629,1,14
57,11247,8923,0,14
57,11c9d,8e4e,0,14
57,150cf,a867,0,14
57,15e15,af0a,0,14
58,02ea5,1752,0,14
58,0d1aa,68d5,1,14
58,0ff0f,7f87,0,14
58,1540b,aa05,0,14
58,17aae,bd57,1,14
58,185a1,c2d0,0,14
58,1ab04,d582,1,14
59,0369d,1b4e,0,15
59,094d7,4a6b,0,15
59,0a24a,5125,1,15
5b,04344,21a2,1,14
5b,0954f,4aa7,0,14
5b,0d60b,6b05,0,14
5b,13817,9c0b,0,14
5b,17b53,bda9,0,14
5b,1ad58,d6ac,1,14
5b,1ee1c,f70e,1,14
5c,03fa9,1fd4,0,16
5e,002b8,015c,1,13
5e,01420,0a10,1,13
5e,01698,0b4c,1,13
5e,0805b,402d,0,13
5e,082e3,4171,0,13
5e,0947b,4a3d,0,13
5e,096c3,4b61,0,13
5e,1483c,a41e,1,13
5e,14a84,a542,1,13
5e,15c1c,ae0e,1,13
5e,15ea4,af52,1,13
5e,1c867,e433,0,13
5e,1cadf,e56f,0,13
5e,1dc47,ee23,0,13
5e,1deff,ef7f,0,13
5f,1a531,d298,0,16
60,124d3,9269,0,16
62,08cc5,4662,0,15
62,11891,8c48,0,15
62,19454,ca2a,1,15
63,19f0c,cf86,1,16
64,1003a,801d,1,16
67,0054b,02a5,0,16
68,07275,393a,0,16
69,093ab,49d5,0,15
69,13ddb,9eed,0,15
69,1ae70,d738,1,15
6b,0dbd4,6dea,1,16
6c,07aa6,3d53,1,16
6d,0565e,2b2f,1,15
6d,10b83,85c1,0,15
6d,15ddd,aeee,0,15
6e,0c12f,6097,0,15
6e,11776,8bbb,1,15
6e,1d659,eb2c,0,15
6f,080f9,407c,0,16
70,0fcbf,7e5f,0,15
70,141ca,a0e5,1,15
70,1bd75,deba,0,15
71,0d60d,6b06,0,16
72,12b79,95bc,0,16
73,08063,4031,0,15
73,128be,945f,1,15
73,1a8dd,d46e,0,15
74,06655,332a,0,15
74,19cb9,ce5c,0,15
74,1faec,fd76,1,15
75,11652,8b29,1,16
76,02e48,1724,1,16
78,0170e,0b87,1,15
78,0a38c,51c6,1,15
78,0b482,5a41,1,15
79,0034d,01a6,0,14
79,0aca0,5650,1,14
79,0afed,57f6,0,14
79,12105,9082,0,14
79,12248,9124,1,14
79,18da5,c6d2,0,14
79,18ee8,c774,1,14
7a,1b4e8,da74,1,16
7b,029ac,14d6,1,15
7b,080c2,4061,1,15
7b,0a96e,54b7,1,15
7d,1f6fc,fb7e,1,16
7e,0401a,200d,1,16
7f,0ff25,7f92,0,15
7f,11043,8821,0,15
7f,1ef66,f7b3,1,15
80,0a6ff,537f,0,15
80,156ed,ab76,0,15
80,1f012,f809,1,15
81,08912,4489,1,16
82,1fd22,fe91,1,16
83,0a7a4,53d2,1,15
83,131ef,98f7,0,15
83,1964b,cb25,0,15
84,0c367,61b3,0,15
84,167ee,b3f7,1,15
84,1a489,d244,0,15
85,0f1f2,78f9,1,16
86,1196d,8cb6,0,16
87,014ab,0a55,0,15
87,105e7,82f3,0,15
87,1114c,88a6,1,15
88,04bb0,25d8,1,15
88,1abd4,d5ea,1,15
88,1e064,f032,1,15
89,06ced,3676,0,16
8a,119d5,8cea,0,16
8b,07874,3c3a,1,15
8b,0ae70,5738,1,15
8b,0d604,6b02,1,15
8d,0e377,71bb,0,16
8e,00208,0104,1,14
8e,040d7,206b,0,14
8e,042df,216f,0,14
8e,10dca,86e5,1,14
8e,10fc2,87e1,1,14
8e,14d1d,a68e,0,14
8e,14f15,a78a,0,14
8f,051ef,28f7,0,15
8f,08982,44c1,1,15
8f,0d86d,6c36,0,15
90,08ac1,4560,0,16
91,0fed3,7f69,0,15
91,13ea4,9f52,1,15
91,1c077,e03b,0,15
